Name,Release Year,Creator,Original Network,Number of Episodes,IMDB rating,rotten tomatoes rating,Google Rating 
Steven Universe,2013,Rebecca Sugar,Cartoon Network,160,8.2,100%,94%
Kipo and the Wonderbeasts,2020,Radford Sechrist,Netflix,30,8.4,100%,80%
She-Ra,2018,Noelle Stevenson,Netflix,52,7.9,97%,90%
Miraculous,2015,Cindy Morrow,Netflix,79,7.7,93%,93%
Rick and Morty,2013,Justin Roiland,Adult Swim,41,9.2,94%,96%
Solar Opposites,2020,Justin Roiland,Hulu,16,8,96%,86%
Harley Quinn,2019,Paul Dini,HBO,26,8.5,94%,88%
Star Wars: Clone Wars,2008,Genndy Tartakovsky,Disney XD,133,7.8,94%,94%
Invader Zim,2001,Jhonen Vasquez,Nickelodeon,28,8.3,95%,95%
The Boondocks,2005,Aaron McGruger ,Adult Swim,55,8.4,48%,94%
Batman the animated series,1992,Bruce Timm,Fox Kids,85,9,92%,92%
Star Wars: The Bad Batch,2021,Dave Filoni,Disney+,1,9.2,94%,94%
Big Mouth,2017,Nick Kroll,Netflix,41,8,100%,91%
South Park,1997,Trey Parker,Cartoon Network,309,8.7,80%,94%
TMNT,2012,Peter Laird,Nickelodeon,124,7.8,93%,93%
Amazing World of Gumball,2011,Ben Bocquelet,Cartoon Network,240,8.2,95%,95%
Regular Show,2009,J. G. Quintel,Cartoon Network,261,8.4,97%,97%
Hoops,2020,Ben Hoffman,Netflix,10,6.1,80%,81%
The Last Kids on Earth,2019,Max Brallier,Netflix,24,7.5,90%,89%
We Bare Bears,2015,Daniel Chong,Cartoon Network,140,7.9,95%,95%
Teen Titans Go,2013,Aaron Horvath,Cartoon Network,313,5.3,80%,75%
Aqua Teen Hunger Force,2000,Dave Willis,Adult Swim,140,7.6,94%,91%
F is for Family,2015,Bill Burr,Netflix,36,8,87%,94%
China Illinois,2008,Brad Neely,Adult Swim,32,7,70%,86%
Pokemon,1997,Takeshi Shudo,WB,1148,7.5,90%,93%
Code Lyoko,2007,Tania Palumbo,Cartoon Network,97,7.3,86%,96%
Yu-Gi-Oh,2000,Kazuki Takahashi,WB,224,7.2,88%,91%
Batman Beyond,1999,Bruce Timm,WB,52,8.1,100%,94%
Gargoyles,1994,Greg Weisman,ABC,78,8.1,100%,94%
